type_concours;niveau;echelle;annee;laureat;isLaureat;ordre;prix;sexe;prenom;nom;id;url_video;titre;url_these;code_labo;labo;code_etablissement;etablissement
MT180;Finale;National;2016;;FALSE;;;M;Younes;FAYDI;2016FAYYOU;https://www.youtube.com/watch?v=PIVYYB7sEP0;Classement mecanique des sciages feuillus;http://www.theses.fr/s134695;200214907Z;Laboratoire Bourguignon des Materiaux et Procedes;0755581J;Hautes Etudes-Sorbonne-Arts et Metiers
MT180;Finale;National;2016;;FALSE;;;M;Thibault;HARLE;2016HARTHI;https://www.youtube.com/watch?v=Bnjghe47gW0;Creation et caracterisation d'un materiau de construction composite incorporant un materiau à changement de phase pour une meilleure regulation de la temperature interieure.;http://www.theses.fr/s95552;201019146X;Geosciences et Environnement Cergy;0952199Z;Universite Paris-Seine
MT180;Finale;National;2016;;FALSE;;;F;Alice;DE_ROCHECHOUART;2016DE_ALI;https://www.youtube.com/watch?v=cDlK38Cz48U;L'eschatologie du present : un motif dans la philosophie contemporaine française;http://www.theses.fr/s124972;199812910W;Groupe Societes, Religions, Laicites;0755700N;Universite de recherche Paris sciences et lettres - PSL Research University
MT180;Finale;National;2017;;FALSE;;;M;Marius;COLIN;2017COLMAR;https://www.youtube.com/watch?v=F7GNtwKxbUk;Evaluation de l'activite antimicrobienne de surfaces en alliages de cuivre dans des etablissements de sante;http://www.theses.fr/s143486;201220348V;Biomateriaux et Inflammation en Site Osseux;0512141A;Universite de Champagne
MT180;Finale;National;2017;;FALSE;;;F;Marie-Claudine;HAUMONT-SAUTEREAU;2017HAUMAR;https://www.youtube.com/watch?v=eqQupMlJ-rU;Plaisir et souffrance au travail et risques de burn out. Etude clinique et analyse differentielle entre hommes et femmes menees aupres de dirigeants de PME;;200919245J;Laboratoire de Psychologie de l'Interaction et des Relations Intersubjectives;0542493S;Universite de Lorraine
MT180;Finale;National;2015;;FALSE;;;F;Leslie;LECOSSOIS;2015LECLES;https://www.youtube.com/watch?v=aZkLcGdTmDQ;Faut-il tuer l'Homme pour preserver l'humanite ?;http://www.theses.fr/s102468;200815535F;Centre Interdisciplinaire de Recherches sur les Langues et la Pensee;0512141A;Universite de Champagne
MT180;Finale;National;2015;;FALSE;;;F;Lanjiao;WANG;2015WANLAN;https://www.youtube.com/watch?v=2-XbLXK1w0Y;Insecticide resistance in mosquito vectors of arboviruses / importance in vector competence and impact on viral evolution;http://www.theses.fr/s135451;775684897;Institut Pasteur;9730429D;Universite de Guyane
MT180;Finale;National;2016;;FALSE;;;F;Charlotte;RASSER;2016RASCHA;https://www.youtube.com/watch?v=u5i8CrSRu1A;Biomimetisme et bioingenierie: Evaluation in vitro et in vivo de la biocompatibilite apportee par l'immbilisation d'un peptique derive du CD31 à la surface de biomateriaux endovasculaires;;201420730B;Laboratoire de Recherche Vasculaire Translationnelle;0755598C;Universite Sorbonne Paris Cite
MT180;Finale;National;2016;;FALSE;;;F;Mathilde;PETTON;2016PETMAT;https://www.youtube.com/watch?v=U6c2_qVUcwQ;Bases neurales des fluctuations spontanees de l'attention;http://www.theses.fr/s102153;201119399T;Centre de Recherche en Neurosciences de Lyon;0694094A;Universite de Lyon
MT180;Finale;National;2016;;FALSE;;;F;Lucie;POULET;2016POULUC;https://www.youtube.com/watch?v=kxplRMoESXA;Definition de modeles physiques pour predire la croissance de plantes superieures en environnement de gravite reduite pour une application en systeme support-vie;http://www.theses.fr/s131625;199412376H;Institut Pascal;;Universite Clermont Auvergne et associes
MT180;Finale;National;2017;;FALSE;;;F;Carole;BASTIANELLI;2017BASCAR;https://www.youtube.com/watch?v=52jVVJ2eu6c;Changements globaux et dynamiques forestieres des pessieres du Quebec au cours des 8000 dernieres annees;http://www.theses.fr/s145320;;;0755700N;Universite de recherche Paris sciences et lettres - PSL Research University
MT180;Finale;National;2015;Laureat;TRUE;1;Premier prix du jury;M;Alexandre;ARTAUD;2015ARTALE;https://www.youtube.com/watch?v=i4GjRaERjkA;Spectroscopie tunnel à tres basse temperature de graphene sur rhenium;http://www.theses.fr/s95621;200717446M;Service de Physique Statistique, de Magnetisme et de Supraconductivite;0383412C;Universite Grenoble Alpes
MT180;Finale;National;2015;;FALSE;;;F;Aline-Laure;ESPINASSOUZE;2015ESPALI;https://www.youtube.com/watch?v=RPXEhdg8g7o;La question de la rentabilite des politiques de responsabilite sociale d'entreprise : etude des liens entre performance financiere et extra-financiere.;http://www.theses.fr/s86714;200612831A;Theorie Economique, Modelisation et Applications;0952199Z;Universite Paris-Seine
